gen | avg | best
0 | -1.7802 | -1.7802
1 | -2.1161 | -1.0140
2 | -4.2604 | -1.1204
3 | -2.8173 | -1.0020
4 | -2.6238 | -1.0448
5 | -4.0595 | -1.2181
6 | -2.2065 | -1.0019
7 | -2.5004 | -1.0022
8 | -2.8968 | -1.0004
9 | -3.8818 | -1.0096
10 | -3.8881 | -1.0009
11 | -2.0201 | -1.0018
12 | -2.6321 | -1.0286
13 | -3.7200 | -1.0033
14 | -3.2737 | -1.0000
15 | -2.1679 | -1.0215
16 | -2.8059 | -1.0128
17 | -3.8038 | -1.0983
18 | -2.5895 | -1.0013
19 | -2.4007 | -1.0199
20 | -2.7358 | -1.0110
21 | -2.3987 | -1.0127
22 | -4.2207 | -1.2188
23 | -3.5862 | -1.0155
24 | -2.4197 | -1.0201
25 | -2.9228 | -1.0001
26 | -2.7615 | -1.0405
27 | -2.4487 | -1.0025
28 | -1.8374 | -1.0015
29 | -3.2588 | -1.0324
30 | -3.1483 | -1.0358
31 | -3.2513 | -1.0014
32 | -2.1784 | -1.0467
33 | -3.1811 | -1.0181
34 | -2.0501 | -1.0019
35 | -3.2140 | -1.0013
36 | -2.6150 | -1.0748
37 | -2.6402 | -1.0532
38 | -2.8129 | -1.0029
39 | -1.9152 | -1.0178
40 | -2.7936 | -1.0270
41 | -3.0104 | -1.2333
42 | -3.4267 | -1.0135
43 | -1.6258 | -1.0033
44 | -2.5338 | -1.0035
45 | -3.0918 | -1.0041
46 | -2.6472 | -1.0203
47 | -3.2717 | -1.0022
48 | -3.2445 | -1.0147
49 | -3.4180 | -1.0001
50 | -3.7679 | -1.0453
51 | -4.5411 | -1.1273
52 | -2.7911 | -1.0223
53 | -3.6576 | -1.0098
54 | -1.8403 | -1.0329
55 | -2.4100 | -1.0509
56 | -1.9901 | -1.0394
57 | -2.3953 | -1.0257
58 | -2.5308 | -1.0865
59 | -2.3077 | -1.0517
60 | -2.3663 | -1.0015
61 | -3.1507 | -1.0054
62 | -2.9854 | -1.0050
63 | -4.2090 | -1.1118
64 | -2.8163 | -1.0153
65 | -2.7896 | -1.4681
66 | -2.6297 | -1.0097
67 | -3.3913 | -1.0152
68 | -3.0539 | -1.0002
69 | -3.5332 | -1.0010
70 | -2.3366 | -1.0000
71 | -2.2637 | -1.0613
72 | -3.4368 | -1.0053
73 | -2.6067 | -1.0001
74 | -2.9501 | -1.0168
75 | -1.9703 | -1.0005
76 | -4.6813 | -1.1788
77 | -3.9053 | -1.2068
78 | -2.4134 | -1.0001
79 | -2.1283 | -1.0101
80 | -2.7512 | -1.0356
81 | -2.8530 | -1.0025
82 | -2.9634 | -1.0208
83 | -2.9325 | -1.0140
84 | -2.3942 | -1.0205
85 | -2.5800 | -1.0009
86 | -2.6418 | -1.0343
87 | -1.5041 | -1.0010
88 | -3.5524 | -1.0028
89 | -3.0774 | -1.0008
90 | -3.6345 | -1.0023
91 | -3.0935 | -1.0108
92 | -3.3311 | -1.0052
93 | -2.1345 | -1.0029
94 | -2.8991 | -1.0003
95 | -3.3688 | -1.0011
96 | -2.0948 | -1.0059
97 | -2.5069 | -1.0261
98 | -2.3310 | -1.0027
99 | -2.1492 | -1.0013
