gen | avg | best
0 | -1.4552 | -1.4552
1 | -3.2919 | -1.0412
2 | -2.8579 | -1.0187
3 | -2.9799 | -1.0033
4 | -2.8336 | -1.0835
5 | -3.6501 | -1.0009
6 | -2.7700 | -1.0204
7 | -2.6046 | -1.0020
8 | -2.3405 | -1.0007
9 | -2.9907 | -1.0022
10 | -2.9868 | -1.1005
11 | -4.1153 | -1.0050
12 | -1.8497 | -1.0073
13 | -2.7350 | -1.0022
14 | -2.6507 | -1.0002
15 | -2.4833 | -1.0033
16 | -3.9260 | -1.2618
17 | -3.5757 | -1.0001
18 | -2.2743 | -1.0046
19 | -3.4539 | -1.0071
20 | -3.1793 | -1.0001
21 | -3.7998 | -1.0028
22 | -3.7075 | -1.0012
23 | -2.3387 | -1.0649
24 | -2.8247 | -1.0004
25 | -2.5136 | -1.0001
26 | -2.7269 | -1.0103
27 | -2.1351 | -1.0213
28 | -4.5315 | -1.0122
29 | -3.0464 | -1.0115
30 | -2.5042 | -1.0015
31 | -3.7820 | -1.0025
32 | -2.3624 | -1.0017
33 | -3.3232 | -1.0218
34 | -3.4772 | -1.0346
35 | -4.4667 | -1.0343
36 | -3.6065 | -1.0871
37 | -2.0396 | -1.0019
38 | -1.9557 | -1.0047
39 | -3.3083 | -1.0005
40 | -2.4053 | -1.0022
41 | -1.9952 | -1.0166
42 | -2.8318 | -1.0013
43 | -2.4524 | -1.0040
44 | -2.6905 | -1.0578
45 | -2.7521 | -1.0471
46 | -2.6378 | -1.0265
47 | -2.6618 | -1.0003
48 | -2.9803 | -1.0377
49 | -2.8183 | -1.0001
50 | -2.1571 | -1.0054
51 | -3.0495 | -1.0004
52 | -2.7551 | -1.0017
53 | -2.1330 | -1.0002
54 | -2.8906 | -1.0000
55 | -3.1463 | -1.0635
56 | -2.5170 | -1.0005
57 | -2.8291 | -1.0018
58 | -2.2419 | -1.0023
59 | -1.9694 | -1.0008
60 | -3.8473 | -1.0969
61 | -2.6615 | -1.0013
62 | -2.9089 | -1.0099
63 | -4.4251 | -1.0932
64 | -3.0568 | -1.0176
65 | -4.7840 | -1.0866
66 | -3.3329 | -1.0237
67 | -3.5539 | -1.0306
68 | -3.1109 | -1.0008
69 | -2.6222 | -1.0055
70 | -2.8960 | -1.0210
71 | -3.2091 | -1.1502
72 | -3.0746 | -1.0927
73 | -2.4024 | -1.0165
74 | -3.3852 | -1.0098
75 | -3.4794 | -1.0100
76 | -2.7772 | -1.0002
77 | -2.7717 | -1.1542
78 | -2.7950 | -1.0218
79 | -3.7416 | -1.0911
80 | -2.2356 | -1.0015
81 | -2.7874 | -1.0003
82 | -2.6025 | -1.0182
83 | -3.6020 | -1.0008
84 | -3.6485 | -1.0678
85 | -3.3022 | -1.0141
86 | -2.4982 | -1.0394
87 | -2.2552 | -1.0482
88 | -2.8863 | -1.0007
89 | -3.3248 | -1.0013
90 | -2.4612 | -1.0031
91 | -4.3099 | -1.2594
92 | -1.6772 | -1.0147
93 | -3.3321 | -1.0157
94 | -2.7702 | -1.0014
95 | -3.4528 | -1.0211
96 | -4.0257 | -1.0585
97 | -3.4721 | -1.0000
98 | -3.8292 | -1.0399
99 | -3.1260 | -1.0320
